temperature,humidity,pressure,altitude
24.0041015625,38.00319703720047,985.909197134732,351.0849949888426
23.9939453125,37.98569529871124,985.98199481397,350.68674178597826
23.988671875,37.91585285087318,985.9524978749791,350.9125339247516
23.9939453125,38.05560247805058,985.993845611346,350.6538475616761
24.0041015625,38.03231127016778,985.9919713284348,350.57177082010577
24.009375,37.81686007583756,985.9948691011762,350.4034668741119
23.9939453125,37.89834963243701,985.9745531224478,350.44242996612456
23.98359375,38.20705009601856,985.9953572988452,350.5963625559794
24.0041015625,37.6944992173688,985.9689392343844,350.7400756516415
23.9939453125,37.793567241703016,985.965065109448,350.3172401432417
23.9939453125,37.8926264917402,986.0292170185196,350.479848582688
23.9939453125,37.92763008674585,986.0361699159934,350.1796055380339
23.9990234375,37.74694519211849,986.0175472164998,349.9307716240343
23.9990234375,38.00901990362628,985.9936643136048,350.63947628117745
23.9990234375,38.1371505747213,985.9963805993518,350.657998928227
23.9939453125,37.66545381793862,985.959269646668,350.8247566630644
